environment,avg_building_height_m,street_width_m,building_separation_m,street_orientation_deg,tx_antenna_height_m,rx_antenna_height_m,building_path_length_m,link_distance_m,path_loss_dB,delay_spread_ns
urban,29.38,17.02,23.42,65.3,36.63,3.56,155.66,227.96,128.9442648557395,256.7471576158366
urban,9.14,18.58,35.95,2.54,24.15,3.26,84.81,192.51,120.0653660070111,148.09733135294152
urban,9.69,10.37,37.36,15.72,24.89,4.35,281.49,448.81,89.62002269039033,155.16564565764628
urban,33.33,27.74,16.4,51.09,43.52,6.75,198.43,485.16,100.77798018231974,276.50235955695075
urban,9.99,14.86,25.04,1.97,21.83,6.35,288.73,151.44,102.97048410350683,177.2522157145674
urban,64.96,36.77,14.08,12.83,17.94,6.03,51.21,259.6,84.40123117911106,148.48055769989725
urban,9.6,19.26,35.01,36.31,31.11,6.23,239.61,455.28,129.47961146168026,174.2835660160491
urban,8.71,11.25,52.39,6.77,32.84,4.77,102.4,391.69,116.85090598100746,232.0569357539978
urban,92.87,35.06,11.66,18.57,32.78,2.47,231.31,369.7,144.29003583402468,96.04063231050395
urban,9.61,13.34,46.95,28.04,20.78,6.6,191.85,191.14,102.76078285290225,199.4822093962525
urban,7.22,4.06,66.81,39.99,20.77,2.96,162.48,250.57,88.74903867422502,167.23279222608474
urban,109.72,32.13,16.22,14.75,26.78,3.38,141.9,187.79,97.57232375905241,89.5919297117469
urban,7.44,18.73,45.77,74.61,10.65,2.49,117.26,491.42,144.58221618268362,119.18216231376643
urban,49.04,25.24,10.29,18.69,30.51,6.06,198.18,137.63,142.7102656029975,256.05784174810935
urban,4.95,11.01,62.74,63.0,29.43,8.29,209.31,416.28,99.7750453212628,173.44588303395332
urban,6.46,16.94,23.39,44.45,22.87,4.64,278.82,157.55,83.72683844786539,57.74675853753265
urban,38.3,26.64,14.4,72.71,38.01,1.4,82.37,244.93,125.47706758295766,110.00847818453714
urban,6.28,8.75,69.26,68.09,45.68,7.19,51.37,407.94,113.48318284377504,207.64957764861796
urban,11.81,7.96,34.23,3.06,40.91,5.39,239.12,215.55,85.02370742763733,70.22403259365998
urban,6.19,7.56,74.47,53.68,30.99,9.63,217.53,336.72,133.3672537469838,71.8713771056781
urban,9.04,4.04,73.55,6.68,29.19,1.73,273.08,176.47,111.9927400325374,172.7150929710966
urban,8.5,12.22,61.94,77.35,36.75,7.83,222.69,440.99,99.83594536398331,216.89350137693532
urban,6.21,19.1,43.09,46.6,28.21,2.73,86.98,37.82,122.68301454462653,217.3439417205853
urban,40.13,24.88,16.83,14.06,29.86,7.95,130.7,371.78,130.34736830945926,286.18037007033615
urban,12.65,11.02,28.75,75.55,15.93,5.84,135.99,211.41,130.35048784562204,126.09558508334277
urban,61.92,13.9,15.2,84.73,35.8,2.68,220.35,134.45,119.16495922679955,55.87454969771001
urban,8.52,6.09,40.07,82.48,49.53,3.71,281.09,352.93,111.34875811120088,131.98037645971192
urban,8.44,14.89,35.88,78.07,38.88,6.96,296.42,99.63,143.9163318257623,294.0384280919204
urban,6.91,5.67,65.16,6.57,40.74,4.48,96.06,479.71,116.065521873552,103.06417586060047
urban,10.19,19.42,37.7,84.42,22.4,3.36,192.93,358.3,117.44194292689986,62.21567303881071
urban,27.15,18.04,22.4,7.68,20.36,5.36,100.38,418.6,100.158557811356,153.50793736066976
urban,43.48,12.04,16.28,64.27,30.73,4.96,45.86,137.66,141.30499752852776,299.86350409012016
urban,7.71,18.05,21.13,83.77,29.34,8.57,62.83,432.12,86.998262307121,83.7712976769107
urban,8.28,12.24,59.05,64.94,22.07,1.62,92.67,444.61,139.15238250846878,141.79661157472384
urban,18.32,14.3,17.64,81.67,24.64,2.34,238.4,430.0,86.21870771967141,135.97885750755427
urban,98.34,10.77,15.8,8.78,23.91,3.38,166.83,399.06,89.58549033627298,83.25798881827075
urban,8.55,17.62,23.75,27.75,35.35,5.56,47.78,38.62,100.2643736635025,59.15600036580563
urban,5.61,9.53,55.04,17.73,29.64,9.05,289.54,365.49,121.32751724034283,272.4748957110391
urban,15.69,18.3,15.89,57.59,35.36,8.45,232.72,110.44,90.7277265901986,55.912767275064375
urban,90.17,34.22,19.87,63.3,20.43,8.2,116.87,442.21,144.18527001916132,284.1846876579286
urban,9.76,12.74,27.69,16.8,47.13,5.1,27.52,48.31,107.69927147038086,63.23827056246868
urban,44.01,22.43,16.05,61.22,18.69,7.17,65.88,252.13,121.39475951704178,297.76809035546376
urban,35.85,21.22,18.08,57.58,17.2,2.56,258.31,136.95,110.94770225922797,84.89069552620668
urban,53.14,22.54,7.34,60.17,33.56,8.29,134.52,108.89,132.77668539102905,205.0875815974918
urban,7.64,7.5,24.94,37.06,33.65,5.89,44.0,149.89,138.1798037314764,72.00940707205987
urban,9.59,13.32,36.49,72.51,19.18,7.12,131.12,25.97,94.82090297799853,61.31734143492627
urban,5.94,8.93,35.15,11.52,39.06,3.95,295.58,275.57,133.1493094807081,91.41077236056711
urban,7.9,5.42,76.06,70.35,39.52,9.04,188.35,342.3,142.52032899852725,220.22653259091092
urban,9.54,16.92,35.08,26.1,28.23,7.97,247.08,320.43,103.71080881089044,71.3719381627863
urban,8.45,14.77,52.43,48.41,24.17,2.51,231.9,363.83,140.4600937382086,243.26622525775326
urban,112.54,34.09,14.58,37.36,40.39,9.25,79.45,297.17,89.41646750554143,183.85443929597108
urban,7.41,9.57,65.26,81.83,25.28,2.37,86.27,337.53,90.40203312663733,127.61874652218967
urban,9.02,11.23,30.58,34.47,25.78,3.78,187.16,403.29,142.83904919118504,296.46789366248703
urban,51.59,16.96,15.29,20.67,25.4,4.95,225.93,377.1,115.68864568446946,58.72039800449417
urban,9.18,13.66,20.66,66.38,20.59,5.48,33.89,152.44,117.7772717657788,92.9091392444378
urban,17.49,20.53,33.28,89.63,35.46,2.5,108.26,199.46,86.00397876488124,164.75121757370727
urban,32.81,18.83,11.97,69.15,14.63,6.92,101.96,25.35,129.07850925386717,259.43148473701706
urban,11.19,6.76,41.68,1.71,16.84,3.84,39.93,438.62,115.16474909735885,146.23668236151593
urban,47.36,20.51,24.44,70.62,29.44,2.06,150.45,341.85,136.45052287337603,258.76398827189826
urban,42.68,16.42,18.48,19.14,11.14,4.87,40.49,81.59,87.41742330713613,155.1037338945892
urban,19.76,22.29,22.99,47.71,36.39,4.16,249.59,110.63,107.8161775016151,119.24850024736683
urban,71.65,24.16,7.72,81.45,49.73,1.93,139.84,341.33,94.14552629654342,88.0231568357271
urban,86.75,30.08,11.97,0.11,18.59,6.12,140.46,470.38,130.5209372346124,96.91981147038175
urban,6.59,6.08,45.53,66.84,45.15,2.95,188.23,489.45,85.51054057120113,80.01643345776381
urban,9.94,15.91,48.98,37.39,49.35,8.19,292.66,100.14,109.94306891727894,274.1284724177799
urban,74.3,10.33,13.28,70.24,23.45,8.61,270.73,245.38,110.41921408017728,164.46393249022447
urban,8.21,7.59,24.11,19.04,17.22,7.55,73.79,100.01,121.8963636972511,83.08886289464682
urban,4.43,9.14,41.48,33.25,35.63,4.87,213.78,499.25,127.5822859020261,202.64006888754707
urban,56.43,36.75,8.66,33.59,46.24,6.0,112.52,47.19,127.92389568273299,179.07200603791068
urban,49.91,12.83,13.03,59.01,37.54,4.41,33.94,109.25,138.7556866493444,273.1843587402992
urban,11.94,18.2,40.61,79.03,27.06,6.89,188.27,60.71,117.46614075228024,287.6351689843168
urban,8.04,6.94,43.34,20.07,39.48,8.12,98.09,61.07,114.6948141234515,258.1020262445474
urban,28.66,18.92,12.71,20.08,14.72,6.98,223.3,83.31,104.58176363697274,189.5043820027319
urban,16.5,13.19,36.94,6.28,12.83,8.77,148.74,397.83,100.97930999832086,273.82105288610387
urban,6.67,7.69,49.07,3.66,45.48,5.82,93.08,358.37,113.41528869613757,111.1452550304106
urban,9.97,22.93,24.38,25.92,39.55,6.08,177.66,186.06,128.57780749696508,187.27135445994733
urban,9.6,13.0,67.06,33.19,21.57,1.89,149.64,172.13,129.59974529435863,52.75787826795107
urban,14.46,10.27,39.95,24.01,10.36,4.0,263.14,215.18,126.04224122009546,126.29081889161505
urban,114.62,24.66,8.56,37.63,37.52,5.3,158.15,65.4,89.76718503687363,153.7737286164576
urban,7.14,5.09,42.54,41.81,15.42,8.96,105.59,181.48,104.82516600692439,168.30277995991798
urban,8.26,4.81,79.06,14.64,23.33,7.78,58.36,366.02,97.46749337589675,110.524309556517
urban,10.62,19.16,30.7,81.19,44.17,2.83,211.68,411.85,139.78978429259544,94.46994263901102
urban,55.81,21.3,17.77,22.87,36.18,6.02,243.79,300.03,99.2064592171896,91.87054960054184
urban,54.49,10.32,22.13,68.15,13.38,6.08,274.44,399.46,125.91172281040683,195.9780093068487
urban,7.59,6.74,34.36,9.11,36.0,9.57,109.08,52.34,94.11738846751716,249.80460109511463
urban,5.99,4.39,63.89,9.61,47.61,3.57,197.1,447.5,129.7506711447047,296.23949270802973
urban,46.45,26.48,8.19,79.78,21.12,1.41,77.15,186.78,120.14264063954342,91.05629968245611
urban,11.06,18.42,23.66,87.04,30.97,6.69,79.63,358.16,139.8834220795698,98.93667966502882
urban,9.17,17.31,25.16,79.74,27.51,8.78,268.03,446.34,114.5349399305315,198.0381326212282
urban,4.01,8.71,59.49,17.0,18.02,9.79,156.45,148.92,137.72925801369647,135.11458455655819
urban,9.15,12.94,31.62,32.5,49.36,5.43,292.85,273.93,134.85605297211399,69.67293435901216
urban,49.92,14.49,5.01,47.98,40.91,9.86,180.84,154.94,129.755208776721,258.8140884568868
urban,4.39,4.47,67.8,41.48,24.7,4.79,52.56,295.92,88.63670173598739,155.1448073351993
urban,6.38,12.16,62.08,35.97,15.46,7.89,199.05,99.16,126.27534892698849,265.73026057873983
urban,5.55,11.46,56.09,57.76,15.43,2.39,175.0,330.86,106.43714200575653,149.40965949204184
urban,45.62,20.74,12.91,59.64,38.33,1.73,146.2,179.79,84.23262895928532,52.625316521242624
urban,34.92,23.91,24.8,53.04,35.86,2.17,96.41,251.91,146.57583929693527,235.2736656515591
urban,15.28,24.78,25.4,43.53,29.05,8.97,286.4,490.53,97.17154508027747,126.80990607673118
urban,35.78,17.08,14.97,19.97,10.58,7.49,236.81,494.21,107.40901661119298,54.98153621112854
urban,97.14,16.38,18.1,27.86,48.61,2.0,288.62,269.35,141.63257612858538,204.0509588035558
urban,50.26,28.31,15.37,28.72,28.92,6.12,235.19,466.64,140.92904116074027,227.34706432792635
urban,18.57,13.37,22.69,51.76,43.5,1.27,187.97,40.78,133.7288180554725,130.10833726683705
urban,18.22,15.71,30.53,62.63,49.43,9.14,59.51,489.35,128.6381361512182,146.17148072026913
urban,107.76,29.51,19.18,30.74,47.33,7.02,55.54,452.46,143.2164119921559,87.82860337481989
urban,8.61,10.2,36.55,4.01,25.4,2.21,258.45,165.41,98.76389902021029,204.0376081398412
urban,5.46,14.8,71.21,41.99,39.75,6.73,181.92,313.16,127.6367998559188,110.34987912654779
urban,11.85,19.69,23.94,84.07,23.59,4.46,255.49,265.11,96.24684583635172,98.83651196960489
urban,97.87,11.13,12.47,7.28,21.31,6.64,146.33,269.37,110.86015841027779,83.56401550810958
urban,7.58,4.53,65.0,31.19,25.05,8.95,134.91,434.68,137.16969485292958,204.16169004304987
urban,8.94,13.95,19.47,56.33,32.67,1.29,224.72,120.99,99.45687531514895,288.0827369264754
urban,93.57,26.9,5.11,0.57,36.62,7.9,270.5,315.16,130.88861148506155,287.20858916236904
urban,6.51,6.57,29.1,26.69,20.4,7.74,247.33,61.74,109.47388599894957,248.12988217091674
urban,7.03,4.47,36.89,21.38,24.84,2.37,71.58,262.58,137.64361527488492,108.81054679701208
urban,38.45,12.31,21.82,70.96,17.84,8.36,58.47,196.27,140.2926052483787,119.1472744569622
urban,50.59,19.52,24.77,87.81,35.14,7.94,212.43,384.15,111.140625366213,102.58049551310101
urban,49.54,23.21,11.61,87.52,11.35,4.97,154.42,60.73,132.01263861253827,76.08258977279937
urban,9.35,7.9,26.48,7.15,23.31,7.82,144.88,239.02,136.18206917447154,273.0199739014832
urban,10.03,15.66,36.5,89.67,26.65,4.19,129.37,214.83,109.75568133632714,132.566139557689
urban,113.63,12.45,18.03,43.52,43.48,8.65,67.24,390.53,89.99642118311915,172.3104749146009
urban,39.91,10.55,11.33,79.78,22.72,9.1,75.96,144.83,135.98897052929087,198.4771585080929
urban,9.31,10.08,26.03,84.25,43.16,2.68,146.48,188.36,129.15782687515994,170.2857666760736
urban,13.0,8.67,17.14,61.94,23.93,6.95,237.8,383.86,125.13422324449726,194.73261127174837
urban,5.69,4.76,79.28,81.75,42.82,1.82,48.65,412.16,143.183044730029,210.59409968688618
urban,10.4,23.44,33.71,15.64,14.14,7.84,94.36,29.41,124.3366169794358,156.87454220494828
urban,7.11,12.5,38.89,10.16,49.17,2.47,82.97,26.73,131.6015017043848,289.8110425584938
urban,37.77,14.4,21.9,26.56,47.98,2.66,288.36,27.45,122.82611797289087,129.21467846485348
urban,9.76,12.05,18.57,84.66,29.88,5.18,211.95,344.73,129.50647767769638,273.8790199014313
urban,9.36,8.57,71.74,16.56,12.08,9.68,222.67,109.09,138.9844499037821,134.26162475900603
urban,8.63,8.71,63.12,38.87,23.39,2.62,102.08,224.95,90.09846488887905,133.97920804780176
urban,17.66,13.62,30.77,81.93,47.23,5.96,95.06,327.05,106.30008158284816,264.3934424221877
